date,buckshot_nswc_seal,dragomir_sabre,osiris_elite_crew,seal_team_6_soldier_nswc_seal,slingshot_phoenix,soldier_phoenix,lt._commander_ricksaw_nswc_seal,b_squadron_officer_sas,special_agent_ava_fbi,blackwolf_sabre,enforcer_phoenix,maximus_sabre,the_elite_mr._muhlik_elite_crew,3rd_commando_company_ksk,'two_times'_mccoy_usaf_tacp,rezan_the_ready_sabre,'the_doctor'_romanov_sabre,markus_delrow_fbi_hrt,operator_fbi_swat,prof._shahmat_elite_crew,getaway_sally_the_professionals,number_k_the_professionals,little_kev_the_professionals,safecracker_voltzmann_the_professionals,sergeant_bombson_swat,john_'van_healen'_kask_swat,'blueberries'_buckshot_nswc_seal,sir_bloody_loudmouth_darryl_the_professionals,dragomir_sabre_footsoldier,sir_bloody_miami_darryl_the_professionals,cmdr._mae_'dead_cold'_jamison_swat,sir_bloody_skullhead_darryl_the_professionals,chem-haz_specialist_swat,bio-haz_specialist_swat,street_soldier_phoenix,1st_lieutenant_farlow_swat,'two_times'_mccoy_tacp_cavalry,sir_bloody_darryl_royale_the_professionals,sir_bloody_silent_darryl_the_professionals,sous-lieutenant_medic_gendarmerie_nationale,trapper_aggressor_guerrilla_warfare,vypa_sista_of_the_revolution_guerrilla_warfare,officer_jacques_beltram_gendarmerie_nationale,'medium_rare'_crasswater_guerrilla_warfare,arno_the_overgrown_guerrilla_warfare,aspirant_gendarmerie_nationale,bloody_darryl_the_strapped_the_professionals,chef_d'escadron_rouchard_gendarmerie_nationale,chem-haz_capitaine_gendarmerie_nationale,cmdr._davida_'goggles'_fernandez_seal_frogman,cmdr._frank_'wet_sox'_baroud_seal_frogman,col._mangos_dabisi_guerrilla_warfare,crasswater_the_forgotten_guerrilla_warfare,d_squadron_officer_nzsas,elite_trapper_solman_guerrilla_warfare,trapper_guerrilla_warfare,lieutenant_'tree_hugger'_farlow_swat,lieutenant_rex_krikey_seal_frogman,primeiro_tenente_brazilian_1st_battalion,jungle_rebel_elite_crew
2020-01-30 00:00:00+00:00,1.114,0.996,0.563,2.382,0.719,0.351,5.058,0.784,11.61,3.674,0.392,1.012,4.934,3.335,1.882,3.258,7.62,0.508,1.066,1.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31 00:00:00+00:00,1.128,1.019,0.574,2.356,0.728,0.375,5.042,0.797,11.819,3.709,0.424,1.036,5.064,3.366,1.893,3.265,7.9,0.513,1.077,1.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01 00:00:00+00:00,1.168,1.068,0.606,2.418,0.751,0.395,5.094,0.826,12.015,3.661,0.437,1.076,5.054,3.407,1.943,3.187,7.916,0.54,1.145,1.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02 00:00:00+00:00,1.161,1.114,0.625,2.455,0.76,0.402,4.953,0.854,12.044,3.66,0.445,1.059,5.033,3.404,1.955,3.191,7.742,0.555,1.127,1.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03 00:00:00+00:00,1.134,1.124,0.605,2.391,0.765,0.395,4.888,0.817,11.931,3.545,0.423,1.05,5.055,3.329,1.887,3.2,7.337,0.555,1.094,1.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04 00:00:00+00:00,1.108,1.109,0.615,2.374,0.737,0.411,4.972,0.792,11.996,3.447,0.418,1.003,5.006,3.264,1.786,3.04,7.39,0.547,1.076,1.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05 00:00:00+00:00,1.057,0.989,0.577,2.334,0.675,0.396,5.047,0.8,11.897,2.975,0.409,0.963,4.909,3.396,1.549,2.595,7.428,0.51,1.085,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06 00:00:00+00:00,0.985,0.96,0.532,2.325,0.677,0.378,5.024,0.786,11.806,2.775,0.403,0.904,4.639,3.392,1.385,2.444,7.306,0.492,1.054,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07 00:00:00+00:00,0.873,0.827,0.477,2.09,0.621,0.343,4.65,0.674,11.456,2.617,0.36,0.825,4.257,2.925,1.311,2.374,6.75,0.417,0.971,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08 00:00:00+00:00,0.855,0.812,0.433,1.976,0.598,0.32,4.516,0.66,11.359,2.54,0.333,0.769,4.322,2.824,1.28,2.173,6.722,0.41,0.874,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09 00:00:00+00:00,0.846,0.792,0.437,1.916,0.596,0.311,4.51,0.665,11.123,2.475,0.325,0.768,4.15,2.772,1.265,2.126,6.63,0.393,0.857,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10 00:00:00+00:00,0.867,0.828,0.453,1.986,0.615,0.322,4.111,0.682,10.77,2.522,0.34,0.783,3.966,2.838,1.221,2.236,6.288,0.415,0.875,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11 00:00:00+00:00,0.865,0.841,0.464,2.007,0.62,0.324,4.347,0.692,10.084,2.482,0.348,0.785,3.971,2.858,1.199,2.207,6.21,0.432,0.891,0.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12 00:00:00+00:00,0.874,0.829,0.47,1.96,0.615,0.33,3.947,0.704,9.6,2.336,0.343,0.794,3.696,2.82,1.211,2.032,5.884,0.435,0.875,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13 00:00:00+00:00,0.894,0.85,0.478,1.936,0.626,0.334,3.824,0.706,8.979,2.335,0.35,0.814,3.413,2.831,1.226,2.058,5.786,0.441,0.901,0.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14 00:00:00+00:00,0.865,0.821,0.474,1.932,0.607,0.333,3.772,0.705,8.861,2.317,0.347,0.802,3.392,2.815,1.212,2.037,5.96,0.442,0.904,0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-15 00:00:00+00:00,0.792,0.737,0.45,1.916,0.53,0.323,3.669,0.631,8.388,2.245,0.346,0.755,3.247,2.633,1.173,1.839,5.678,0.413,0.867,0.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16 00:00:00+00:00,0.726,0.671,0.404,1.803,0.488,0.287,3.673,0.589,7.859,2.021,0.308,0.754,3.159,2.458,1.052,1.72,5.63,0.394,0.865,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17 00:00:00+00:00,0.715,0.664,0.373,1.708,0.46,0.278,3.536,0.576,7.908,1.856,0.291,0.682,3.165,2.358,0.967,1.672,5.393,0.384,0.834,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18 00:00:00+00:00,0.669,0.626,0.347,1.613,0.425,0.257,3.457,0.548,8.12,1.84,0.276,0.621,3.063,2.349,0.927,1.62,5.304,0.339,0.773,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19 00:00:00+00:00,0.607,0.562,0.326,1.53,0.415,0.229,3.15,0.5,7.414,1.729,0.239,0.576,2.72,2.32,0.86,1.492,4.956,0.306,0.699,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20 00:00:00+00:00,0.583,0.542,0.324,1.512,0.399,0.227,3.152,0.438,7.386,1.705,0.244,0.56,2.778,2.374,0.863,1.401,4.971,0.285,0.672,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21 00:00:00+00:00,0.607,0.552,0.328,1.528,0.395,0.236,3.19,0.462,7.542,1.716,0.246,0.591,2.792,2.282,0.894,1.499,5.064,0.293,0.768,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22 00:00:00+00:00,0.643,0.561,0.336,1.557,0.416,0.249,3.241,0.522,7.608,1.791,0.25,0.599,2.846,2.267,0.895,1.553,5.279,0.31,0.796,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23 00:00:00+00:00,0.683,0.575,0.345,1.618,0.427,0.261,3.368,0.523,8.055,1.821,0.256,0.614,3.057,2.314,0.936,1.635,5.433,0.325,0.829,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24 00:00:00+00:00,0.685,0.607,0.345,1.587,0.434,0.264,3.531,0.516,8.248,1.905,0.261,0.625,3.085,2.312,0.947,1.666,5.318,0.327,0.811,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25 00:00:00+00:00,0.819,0.729,0.465,1.891,0.579,0.376,4.194,0.686,10.2,2.274,0.358,0.743,3.975,2.681,1.137,2.035,6.921,0.434,0.94,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26 00:00:00+00:00,0.815,0.7,0.49,1.878,0.583,0.37,3.39,0.685,8.846,2.124,0.379,0.748,3.212,2.646,1.125,1.829,5.735,0.434,0.937,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27 00:00:00+00:00,0.787,0.687,0.46,1.877,0.557,0.343,3.451,0.671,9.4,2.101,0.353,0.718,3.248,2.587,1.115,1.828,5.913,0.426,0.926,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28 00:00:00+00:00,0.798,0.687,0.464,1.899,0.58,0.355,3.53,0.658,9.594,2.183,0.363,0.724,3.337,2.638,1.108,1.923,6.035,0.433,0.957,0.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29 00:00:00+00:00,0.85,0.723,0.465,1.924,0.595,0.378,3.601,0.657,9.675,2.229,0.366,0.748,3.419,2.754,1.113,1.958,6.184,0.435,0.978,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01 00:00:00+00:00,0.843,0.714,0.447,1.893,0.607,0.383,3.562,0.638,9.485,2.12,0.375,0.753,3.462,2.661,1.104,1.962,6.144,0.431,0.973,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02 00:00:00+00:00,0.801,0.69,0.451,1.863,0.613,0.359,3.362,0.628,8.988,2.039,0.363,0.71,3.257,2.627,1.075,1.868,5.681,0.431,0.964,0.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03 00:00:00+00:00,0.785,0.692,0.461,1.852,0.609,0.355,3.42,0.635,9.108,2.085,0.37,0.702,3.286,2.59,1.117,1.858,5.653,0.416,0.926,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04 00:00:00+00:00,0.668,0.603,0.398,1.641,0.542,0.355,2.615,0.565,7.738,1.815,0.371,0.613,2.402,2.39,0.903,1.596,4.625,0.364,0.831,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 00:00:00+00:00,0.61,0.554,0.369,1.561,0.474,0.296,2.597,0.542,7.884,1.765,0.328,0.581,2.401,2.369,0.86,1.471,4.865,0.335,0.802,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06 00:00:00+00:00,0.635,0.564,0.365,1.609,0.477,0.296,2.626,0.536,7.922,1.764,0.317,0.595,2.553,2.373,0.894,1.506,4.885,0.343,0.826,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07 00:00:00+00:00,0.637,0.586,0.378,1.582,0.476,0.297,2.658,0.54,7.765,1.727,0.323,0.577,2.603,2.386,0.886,1.471,4.796,0.358,0.787,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08 00:00:00+00:00,0.657,0.617,0.397,1.606,0.482,0.296,2.574,0.532,7.814,1.718,0.323,0.611,2.494,2.379,0.88,1.473,4.762,0.366,0.798,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09 00:00:00+00:00,0.647,0.618,0.398,1.579,0.483,0.294,2.546,0.538,7.781,1.729,0.319,0.61,2.381,2.369,0.875,1.463,4.841,0.363,0.774,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10 00:00:00+00:00,0.635,0.633,0.402,1.593,0.489,0.293,2.54,0.531,7.911,1.774,0.33,0.598,2.367,2.378,0.89,1.518,4.936,0.374,0.81,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11 00:00:00+00:00,0.623,0.62,0.395,1.575,0.491,0.303,2.66,0.51,7.9,1.723,0.328,0.589,2.413,2.372,0.873,1.49,5.052,0.379,0.777,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12 00:00:00+00:00,0.607,0.592,0.385,1.52,0.478,0.287,2.55,0.516,7.683,1.701,0.319,0.574,2.198,2.3,0.855,1.461,4.822,0.361,0.768,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13 00:00:00+00:00,0.583,0.563,0.369,1.484,0.455,0.278,2.321,0.502,7.343,1.639,0.312,0.551,2.055,2.282,0.838,1.385,4.565,0.342,0.741,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14 00:00:00+00:00,0.573,0.563,0.367,1.472,0.458,0.277,2.248,0.492,6.94,1.625,0.31,0.553,1.975,2.235,0.831,1.371,4.413,0.349,0.755,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15 00:00:00+00:00,0.569,0.544,0.351,1.425,0.43,0.27,2.158,0.49,6.661,1.565,0.302,0.54,1.925,2.183,0.815,1.335,4.162,0.336,0.707,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16 00:00:00+00:00,0.561,0.539,0.341,1.41,0.411,0.258,2.126,0.471,6.585,1.546,0.291,0.537,1.881,2.175,0.809,1.305,3.931,0.323,0.688,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17 00:00:00+00:00,0.532,0.517,0.329,1.366,0.395,0.248,1.952,0.437,6.516,1.474,0.279,0.503,1.742,2.133,0.765,1.255,3.79,0.314,0.661,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18 00:00:00+00:00,0.532,0.523,0.328,1.352,0.395,0.246,1.983,0.439,6.501,1.413,0.276,0.494,1.754,2.093,0.754,1.264,3.756,0.305,0.669,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19 00:00:00+00:00,0.535,0.524,0.331,1.361,0.392,0.252,2.027,0.434,6.602,1.437,0.289,0.503,1.797,2.028,0.76,1.3,3.971,0.314,0.681,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20 00:00:00+00:00,0.525,0.511,0.322,1.301,0.377,0.241,2.049,0.42,6.544,1.421,0.279,0.495,1.837,2.037,0.739,1.279,4.001,0.301,0.678,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21 00:00:00+00:00,0.57,0.541,0.343,1.422,0.41,0.247,2.098,0.471,6.53,1.536,0.289,0.513,1.871,2.133,0.795,1.352,4.05,0.33,0.695,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 00:00:00+00:00,0.532,0.528,0.332,1.368,0.382,0.246,2.131,0.461,6.773,1.512,0.286,0.508,1.91,2.084,0.765,1.271,4.064,0.323,0.684,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23 00:00:00+00:00,0.563,0.544,0.348,1.422,0.417,0.249,2.156,0.495,6.654,1.588,0.293,0.526,1.845,2.175,0.791,1.308,3.98,0.333,0.719,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24 00:00:00+00:00,0.555,0.54,0.333,1.426,0.416,0.244,2.149,0.484,6.708,1.538,0.284,0.527,1.854,2.183,0.78,1.289,3.957,0.325,0.706,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25 00:00:00+00:00,0.559,0.549,0.337,1.429,0.423,0.24,2.216,0.479,6.829,1.579,0.288,0.539,1.945,2.158,0.803,1.315,4.088,0.321,0.684,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26 00:00:00+00:00,0.562,0.538,0.339,1.403,0.404,0.238,2.154,0.502,6.818,1.519,0.28,0.519,1.888,2.142,0.77,1.294,3.955,0.32,0.691,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27 00:00:00+00:00,0.562,0.539,0.346,1.43,0.412,0.242,2.152,0.502,6.863,1.541,0.287,0.521,1.925,2.154,0.775,1.299,4.018,0.32,0.711,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28 00:00:00+00:00,0.575,0.548,0.357,1.486,0.442,0.257,2.296,0.526,7.111,1.582,0.296,0.538,2.001,2.231,0.801,1.356,4.098,0.337,0.738,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29 00:00:00+00:00,0.663,0.621,0.415,1.67,0.525,0.307,2.486,0.608,8.043,1.775,0.34,0.618,2.195,2.436,0.91,1.488,4.84,0.406,0.83,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30 00:00:00+00:00,0.799,0.751,0.518,1.974,0.615,0.402,2.852,0.699,10.272,2.086,0.43,0.812,2.611,3.067,1.101,1.716,5.534,0.479,0.987,0.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31 00:00:00+00:00,0.675,0.651,0.452,1.585,0.527,0.34,2.623,0.6,8.958,1.887,0.356,0.77,2.394,2.284,0.946,1.663,5.125,0.394,0.813,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01 00:00:00+00:00,0.635,0.601,0.401,1.569,0.469,0.309,2.626,0.574,9.355,1.829,0.348,0.661,2.369,2.482,0.911,1.555,5.711,0.372,0.783,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02 00:00:00+00:00,0.604,0.573,0.366,1.489,0.451,0.285,2.507,0.553,8.315,1.703,0.316,0.616,2.111,2.286,0.918,1.551,5.046,0.353,0.756,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03 00:00:00+00:00,0.586,0.545,0.345,1.405,0.412,0.264,2.373,0.534,7.59,1.576,0.284,0.563,1.974,2.115,0.855,1.389,4.617,0.329,0.738,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04 00:00:00+00:00,0.581,0.539,0.341,1.465,0.423,0.254,2.448,0.561,7.575,1.645,0.27,0.553,1.986,2.23,0.87,1.407,4.574,0.33,0.764,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05 00:00:00+00:00,0.585,0.553,0.337,1.423,0.435,0.25,2.437,0.563,7.313,1.659,0.268,0.563,2.025,2.141,0.871,1.438,4.473,0.335,0.788,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06 00:00:00+00:00,0.586,0.542,0.339,1.412,0.43,0.249,2.382,0.555,7.171,1.626,0.266,0.559,1.986,2.101,0.864,1.42,4.381,0.343,0.801,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07 00:00:00+00:00,0.577,0.549,0.336,1.394,0.422,0.242,2.349,0.548,7.01,1.585,0.264,0.556,1.936,2.058,0.868,1.391,4.201,0.341,0.799,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08 00:00:00+00:00,0.593,0.549,0.334,1.408,0.445,0.249,2.378,0.559,7.164,1.594,0.272,0.567,1.943,2.022,0.872,1.383,4.273,0.344,0.793,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09 00:00:00+00:00,0.602,0.564,0.343,1.429,0.445,0.26,2.384,0.559,6.99,1.579,0.266,0.563,1.927,2.045,0.877,1.422,4.214,0.351,0.806,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10 00:00:00+00:00,0.603,0.568,0.347,1.449,0.446,0.256,2.346,0.579,7.019,1.616,0.273,0.566,1.918,2.036,0.874,1.414,4.088,0.365,0.825,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11 00:00:00+00:00,0.618,0.589,0.347,1.458,0.46,0.255,2.335,0.581,6.786,1.639,0.284,0.571,1.923,2.049,0.899,1.462,3.996,0.375,0.828,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12 00:00:00+00:00,0.64,0.624,0.373,1.526,0.476,0.262,2.411,0.638,7.07,1.652,0.292,0.611,1.986,2.053,0.911,1.473,4.177,0.394,0.883,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
